 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	3770.179	105.091	2.773	103	103	110	127.069	76.578	127.303	76.039	298.845	92.567	18.513	74.053	111.080	116.752	41.116	66.807	0.530	124.191	396211.499	103	0.905	-0.623	100	1156	1	92.567	129.593	63.435	57.965	2.840	0.352	0.667
2	685.487	105	0	105	105	105	1379.243	37.027	1379.243	37.027	89.390	1369.987	18.513	18.513	37.027	41.780	20.890	90	1	41.397	71976.137	105	NaN	NaN	100	210	1	1369.987	18.513	116.565	18.513	2	0.500	1
3	342.744	106	0	106	106	106	2082.750	27.770	2082.750	27.770	52.364	2073.493	18.513	18.513	18.513	20.890	20.890	0	1	26.182	36330.812	106	NaN	NaN	100	106	1	2073.493	18.513	135	18.513	1	1.000	1
4	342.744	107	0	107	107	107	4896.777	27.770	4896.777	27.770	52.364	4887.520	18.513	18.513	18.513	20.890	20.890	0	1	26.182	36673.556	107	NaN	NaN	100	107	1	4887.520	18.513	135	18.513	1	1.000	1
5	1028.231	103	0	103	103	103	5421.321	40.112	5421.321	40.112	104.727	5405.893	18.513	37.027	37.027	43.777	29.906	135.000	1	52.364	105907.745	103	NaN	NaN	100	309	1	5405.893	18.513	135	37.027	1.464	0.683	0.857
6	1713.718	105.800	4.025	104	104	113	8343.959	38.878	8344.211	39.004	141.754	8312.487	18.513	55.540	37.027	58.211	37.484	18.435	1	66.751	181311.317	104	1.500	0.250	100	529	1	8312.487	55.540	33.690	37.027	1.553	0.644	0.909
7	685.487	112	0	112	112	112	14329.320	27.770	14329.320	27.770	78.545	14310.807	18.513	37.027	18.513	41.780	20.890	0	1	41.397	76774.546	112	NaN	NaN	100	224	1	14310.807	18.513	153.435	18.513	2	0.500	1
8	342.744	103	0	103	103	103	16985.983	27.770	16985.983	27.770	52.364	16976.727	18.513	18.513	18.513	20.890	20.890	0	1	26.182	35302.582	103	NaN	NaN	100	103	1	16976.727	18.513	135	18.513	1	1.000	1
9	1028.231	107.333	1.155	108	106	108	17195.801	40.112	17195.839	40.189	104.727	17180.373	18.513	37.027	37.027	43.777	29.906	135.000	1	52.364	110363.411	108	-0.707	-1.500	100	322	1	17180.373	18.513	135	37.027	1.464	0.683	0.857
10	342.744	128	0	128	128	128	249.930	46.283	249.930	46.283	52.364	240.673	37.027	18.513	18.513	20.890	20.890	0	1	26.182	43871.169	128	NaN	NaN	100	128	1	240.673	37.027	135	18.513	1	1.000	1
11	342.744	107	0	107	107	107	527.630	46.283	527.630	46.283	52.364	518.373	37.027	18.513	18.513	20.890	20.890	0	1	26.182	36673.556	107	NaN	NaN	100	107	1	518.373	37.027	135	18.513	1	1.000	1
12	685.487	129.500	0.707	129	129	130	1138.570	55.540	1138.570	55.576	89.390	1129.313	37.027	18.513	37.027	41.780	20.890	90	1	41.397	88770.569	130	0	-2	100	259	1	1129.313	37.027	116.565	18.513	2	0.500	1
13	342.744	106	0	106	106	106	1545.863	46.283	1545.863	46.283	52.364	1536.607	37.027	18.513	18.513	20.890	20.890	0	1	26.182	36330.812	106	NaN	NaN	100	106	1	1536.607	37.027	135	18.513	1	1.000	1
14	685.487	105.500	3.536	103	103	108	2471.530	55.540	2471.530	55.759	89.390	2462.273	37.027	18.513	37.027	41.780	20.890	90	1	41.397	72318.881	108	0	-2	100	211	1	2462.273	37.027	116.565	18.513	2	0.500	1
15	685.487	103	0	103	103	103	2952.877	55.540	2952.877	55.540	89.390	2943.620	37.027	18.513	37.027	41.780	20.890	90	1	41.397	70605.163	103	NaN	NaN	100	206	1	2943.620	37.027	116.565	18.513	2	0.500	1
16	1028.231	104.333	2.309	103	103	107	3958.768	52.454	3958.689	52.612	104.727	3943.340	37.027	37.027	37.027	43.777	29.906	45.000	1	52.364	107278.719	103	0.707	-1.500	100	313	1	3943.340	74.053	45	37.027	1.464	0.683	0.857
17	685.487	115	0	115	115	115	6664.800	46.283	6664.800	46.283	78.545	6646.287	37.027	37.027	18.513	41.780	20.890	0	1	41.397	78831.008	115	NaN	NaN	100	230	1	6646.287	37.027	153.435	18.513	2	0.500	1
18	685.487	110	0	110	110	110	6812.907	46.283	6812.907	46.283	78.545	6794.393	37.027	37.027	18.513	41.780	20.890	0	1	41.397	75403.572	110	NaN	NaN	100	220	1	6794.393	37.027	153.435	18.513	2	0.500	1
19	1713.718	111.600	3.286	114	108	114	7340.537	64.797	7340.736	64.598	157.091	7312.767	37.027	55.540	55.540	46.712	46.712	0	0.873	58.544	191250.879	114	-0.408	-1.833	100	558	1	7331.280	37.027	108.435	52.364	1	1.000	0.714
20	1713.718	110.200	5.718	104	104	115	7421.995	75.905	7422.318	76.691	178.781	7405.333	37.027	37.027	74.053	75.464	28.914	110.994	0.674	82.794	188851.675	113	-0.349	-1.808	100	551	1	7405.333	37.027	116.565	37.027	2.610	0.383	0.769
21	685.487	107	0	107	107	107	8664.240	46.283	8664.240	46.283	78.545	8645.727	37.027	37.027	18.513	41.780	20.890	0	1	41.397	73347.111	107	NaN	NaN	100	214	1	8645.727	37.027	153.435	18.513	2	0.500	1
22	1028.231	103	0	103	103	103	9031.421	58.626	9031.421	58.626	104.727	9015.993	37.027	37.027	37.027	43.777	29.906	135.000	1	52.364	105907.745	103	NaN	NaN	100	309	1	9015.993	37.027	135	37.027	1.464	0.683	0.857
23	342.744	113	0	113	113	113	9469.570	46.283	9469.570	46.283	52.364	9460.313	37.027	18.513	18.513	20.890	20.890	0	1	26.182	38730.017	113	NaN	NaN	100	113	1	9460.313	37.027	135	18.513	1	1.000	1
24	342.744	113	0	113	113	113	10024.970	46.283	10024.970	46.283	52.364	10015.713	37.027	18.513	18.513	20.890	20.890	0	1	26.182	38730.017	113	NaN	NaN	100	113	1	10015.713	37.027	135	18.513	1	1.000	1
25	1370.974	124.750	4.787	121	121	131	11547.692	64.797	11547.738	64.797	141.754	11533.807	37.027	37.027	55.540	50.614	34.488	90.000	0.857	58.544	171029.012	126	0.493	-1.372	100	499	1	11533.807	37.027	108.435	37.027	1.468	0.681	0.800
26	1028.231	103.667	0.577	104	103	104	11703.512	52.454	11703.552	52.474	104.727	11681.913	37.027	37.027	37.027	43.777	29.906	135.000	1	52.364	106593.232	104	-0.707	-1.500	100	311	1	11681.913	37.027	135	37.027	1.464	0.683	0.857
27	1028.231	108.333	0.577	108	108	109	12265.083	64.797	12265.083	64.854	126.417	12255.827	37.027	18.513	55.540	62.670	20.890	90	0.809	58.544	111391.641	108	0.707	-1.500	100	325	1	12255.827	37.027	108.435	18.513	3	0.333	1
28	2741.948	122.375	4.689	118	118	132	13903.513	92.567	13903.201	91.914	283.508	13866.487	37.027	74.053	111.080	105.526	33.083	114.183	0.429	117.089	335545.897	123	0.956	0.274	100	979	1	13885.000	37.027	108.435	49.752	3.190	0.314	0.533
29	1713.718	114.400	4.930	118	109	118	14049.769	61.094	14049.710	61.560	141.754	14033.107	37.027	37.027	55.540	58.211	37.484	71.565	1	66.751	196049.288	118	-0.408	-1.833	100	572	1	14033.107	92.567	56.310	37.027	1.553	0.644	0.909
30	2741.948	107.625	3.114	104	104	111	14875.463	69.425	14875.356	69.441	194.118	14847.693	37.027	55.540	74.053	73.649	47.403	65.593	0.914	82.794	295102.163	109	-0.294	-1.631	100	861	1	14866.207	111.080	63.435	55.540	1.554	0.644	0.800
31	3427.435	111	5.011	108	103	118	15179.082	75.905	15179.466	75.538	257.326	15143.907	37.027	74.053	92.567	98.452	44.326	66.576	0.650	107.950	380445.297	109	0.195	-1.079	100	1110	1	15162.420	129.593	59.036	57.965	2.221	0.450	0.714
32	1713.718	107.400	2.302	109	104	109	15927.021	57.391	15926.793	57.281	130.909	15902.953	37.027	55.540	37.027	58.211	37.484	161.565	1	66.751	184053.265	109	-0.682	-1.252	100	537	1	15902.953	37.027	146.310	37.027	1.553	0.644	0.909
33	3084.692	109.222	3.993	107	106	116	16356.530	79.196	16356.775	78.771	231.144	16328.760	37.027	55.540	92.567	93.784	41.879	72.652	0.726	99.697	336916.871	107	1.089	-0.506	100	983	1	16347.273	129.593	68.199	52.736	2.239	0.447	0.750
34	2741.948	112.750	5.203	108	108	119	16576.376	69.425	16576.925	68.840	194.118	16550.920	37.027	55.540	74.053	82.267	42.437	54.645	0.914	92.567	309154.647	116	0.139	-1.817	100	902	1	16550.920	111.080	53.130	52.364	1.939	0.516	0.842
35	1370.974	122.750	8.846	130	112	130	18059.757	50.912	18060.435	50.770	130.909	18031.987	37.027	55.540	37.027	50.614	34.488	0	1	58.544	168287.064	130	-0.296	-1.615	100	491	1	18031.987	37.027	161.565	37.027	1.468	0.681	0.800
36	2741.948	119.625	13.405	111	111	141	18686.896	62.482	18686.444	62.475	167.936	18661.440	37.027	55.540	55.540	65.492	53.307	45.000	1	78.545	328005.540	113	1.057	-0.767	100	957	1	18661.440	92.567	45	55.540	1.229	0.814	0.941
37	342.744	103	0	103	103	103	18763.263	46.283	18763.263	46.283	52.364	18754.007	37.027	18.513	18.513	20.890	20.890	0	1	26.182	35302.582	103	NaN	NaN	100	103	1	18754.007	37.027	135	18.513	1	1.000	1
38	685.487	106	0	106	106	106	1795.793	64.797	1795.793	64.797	78.545	1777.280	55.540	37.027	18.513	41.780	20.890	0	1	41.397	72661.624	106	NaN	NaN	100	212	1	1777.280	55.540	153.435	18.513	2	0.500	1
39	1713.718	112	6.481	119	106	119	2556.691	87.013	2556.989	87.211	141.754	2536.327	55.540	37.027	55.540	58.211	37.484	71.565	1	66.751	191936.366	109	0.327	-1.795	100	560	1	2536.327	111.080	56.310	37.027	1.553	0.644	0.909
40	2741.948	114.875	9.963	106	106	128	2767.743	92.567	2768.086	92.557	194.118	2739.973	55.540	55.540	74.053	87.228	40.023	63.435	0.914	92.567	314981.287	110	0.489	-1.614	100	919	1	2739.973	129.593	53.130	49.705	2.179	0.459	0.800
41	5483.896	158.875	29.727	122	108	211	3672.582	101.823	3673.549	101.780	261.818	3628.613	55.540	92.567	92.567	100.695	69.341	52.438	1	107.950	871254.005	165	0.053	-0.551	100	2542	1	3628.613	129.593	30.964	78.545	1.452	0.689	0.821
42	342.744	109	0	109	109	109	4063.677	64.797	4063.677	64.797	52.364	4054.420	55.540	18.513	18.513	20.890	20.890	0	1	26.182	37359.043	109	NaN	NaN	100	109	1	4054.420	55.540	135	18.513	1	1.000	1
43	342.744	109	0	109	109	109	5174.477	64.797	5174.477	64.797	52.364	5165.220	55.540	18.513	18.513	20.890	20.890	0	1	26.182	37359.043	109	NaN	NaN	100	109	1	5165.220	55.540	135	18.513	1	1.000	1
44	2741.948	113.375	7.009	113	105	129	6139.484	94.881	6139.374	94.904	246.481	6090.887	55.540	92.567	74.053	87.810	39.758	29.055	0.567	99.697	310868.365	113	1.362	1.422	100	907	1	6090.887	111.080	21.801	56.532	2.209	0.453	0.593
45	342.744	111	0	111	111	111	6340.817	64.797	6340.817	64.797	52.364	6331.560	55.540	18.513	18.513	20.890	20.890	0	1	26.182	38044.530	111	NaN	NaN	100	111	1	6331.560	55.540	135	18.513	1	1.000	1
46	1713.718	109.200	1.643	108	108	111	6959.162	87.013	6959.081	86.870	141.754	6942.500	55.540	37.027	55.540	58.211	37.484	108.435	1	66.751	187137.957	108	0.408	-1.833	100	546	1	6942.500	55.540	123.690	37.027	1.553	0.644	0.909
47	685.487	120.500	7.778	115	115	126	7636.750	74.053	7636.750	73.631	89.390	7627.493	55.540	18.513	37.027	41.780	20.890	90	1	41.397	82601.186	126	0	-2	100	241	1	7627.493	55.540	116.565	18.513	2	0.500	1
48	685.487	105	0	105	105	105	8849.373	64.797	8849.373	64.797	78.545	8830.860	55.540	37.027	18.513	41.780	20.890	0	1	41.397	71976.137	105	NaN	NaN	100	210	1	8830.860	55.540	153.435	18.513	2	0.500	1
49	1028.231	117	10.392	111	111	129	10247.130	83.310	10247.130	83.310	126.417	10237.873	55.540	18.513	55.540	62.670	20.890	90	0.809	58.544	120302.972	111	0.707	-1.500	100	351	1	10237.873	55.540	108.435	18.513	3	0.333	1
50	1028.231	105.333	0.577	105	105	106	11129.599	70.968	11129.560	70.948	104.727	11108.000	55.540	37.027	37.027	43.777	29.906	135.000	1	52.364	108306.950	105	0.707	-1.500	100	316	1	11108.000	55.540	135	37.027	1.464	0.683	0.857
51	342.744	116	0	116	116	116	12042.923	64.797	12042.923	64.797	52.364	12033.667	55.540	18.513	18.513	20.890	20.890	0	1	26.182	39758.247	116	NaN	NaN	100	116	1	12033.667	55.540	135	18.513	1	1.000	1
52	685.487	116	15.556	105	105	127	12690.890	74.053	12690.890	73.176	89.390	12681.633	55.540	18.513	37.027	41.780	20.890	90	1	41.397	79516.495	127	0	-2	100	232	1	12681.633	55.540	116.565	18.513	2	0.500	1
53	3770.179	119.091	11.519	105	105	135	13333.808	101.823	13335.338	101.456	231.144	13292.573	55.540	74.053	74.053	79.393	60.463	35.008	0.887	92.567	448994.000	117	0.162	-1.523	100	1310	1	13292.573	129.593	36.870	74.053	1.313	0.762	0.815
54	1370.974	103	0	103	103	103	14144.187	83.310	14144.187	83.310	141.754	14125.673	55.540	37.027	55.540	59.546	29.315	121.717	0.857	66.751	141210.327	103	NaN	NaN	100	412	1	14125.673	55.540	123.690	37.027	2.031	0.492	0.800
55	342.744	116	0	116	116	116	15375.323	64.797	15375.323	64.797	52.364	15366.067	55.540	18.513	18.513	20.890	20.890	0	1	26.182	39758.247	116	NaN	NaN	100	116	1	15366.067	55.540	135	18.513	1	1.000	1
56	342.744	109	0	109	109	109	17282.197	64.797	17282.197	64.797	52.364	17272.940	55.540	18.513	18.513	20.890	20.890	0	1	26.182	37359.043	109	NaN	NaN	100	109	1	17272.940	55.540	135	18.513	1	1.000	1
57	342.744	104	0	104	104	104	17485.843	64.797	17485.843	64.797	52.364	17476.587	55.540	18.513	18.513	20.890	20.890	0	1	26.182	35645.325	104	NaN	NaN	100	104	1	17476.587	55.540	135	18.513	1	1.000	1
58	685.487	118	0	118	118	118	17680.233	64.797	17680.233	64.797	78.545	17661.720	55.540	37.027	18.513	41.780	20.890	0	1	41.397	80887.469	118	NaN	NaN	100	236	1	17661.720	55.540	153.435	18.513	2	0.500	1
59	342.744	109	0	109	109	109	2175.317	83.310	2175.317	83.310	52.364	2166.060	74.053	18.513	18.513	20.890	20.890	0	1	26.182	37359.043	109	NaN	NaN	100	109	1	2166.060	74.053	135	18.513	1	1.000	1
60	1370.974	114.750	6.994	114	107	124	2351.193	92.567	2351.536	92.224	104.727	2332.680	74.053	37.027	37.027	41.780	41.780	0	1	52.364	157319.272	114	0.366	-0.970	100	459	1	2332.680	74.053	135	37.027	1	1.000	1
61	6854.870	119.300	22.525	105	105	170	5033.775	124.965	5033.648	127.832	425.262	4980.087	74.053	111.080	111.080	100.656	86.710	31.636	0.476	133.502	817786.018	109	1.456	0.483	100	2386	1	4980.087	74.053	123.690	111.080	1.161	0.861	0.656
62	1370.974	112	0	112	112	112	5498.460	92.567	5498.460	92.567	104.727	5479.947	74.053	37.027	37.027	41.780	41.780	0	1	52.364	153549.093	112	NaN	NaN	100	448	1	5479.947	74.053	135	37.027	1	1.000	1
63	685.487	112	0	112	112	112	5877.983	92.567	5877.983	92.567	89.390	5868.727	74.053	18.513	37.027	41.780	20.890	90	1	41.397	76774.546	112	NaN	NaN	100	224	1	5868.727	74.053	116.565	18.513	2	0.500	1
64	1028.231	104.333	2.309	103	103	107	6883.874	95.652	6884.032	95.731	104.727	6868.447	74.053	37.027	37.027	43.777	29.906	135.000	1	52.364	107278.719	103	0.707	-1.500	100	313	1	6868.447	74.053	135	37.027	1.464	0.683	0.857
65	1713.718	121	8.944	125	105	125	7185.025	98.121	7184.780	97.386	141.754	7164.660	74.053	37.027	55.540	58.211	37.484	108.435	1	66.751	207359.824	125	-1.500	0.250	100	605	1	7164.660	74.053	123.690	37.027	1.553	0.644	0.909
66	1370.974	116.250	4.349	120	112	120	9552.880	92.567	9552.860	92.865	104.727	9534.367	74.053	37.027	37.027	41.780	41.780	0	1	52.364	159375.733	120	-0.026	-1.965	100	465	1	9534.367	74.053	135	37.027	1	1.000	1
67	2741.948	106.875	1.356	106	106	110	10052.740	106.452	10052.924	106.370	209.454	10015.713	74.053	74.053	74.053	96.677	36.111	39.938	0.785	104.727	293045.702	107	1.705	1.716	100	855	1	10015.713	148.107	45	51.402	2.677	0.374	0.727
68	2399.205	124.714	8.220	114	114	132	10858.070	107.113	10858.749	107.231	167.936	10830.300	74.053	55.540	55.540	57.141	53.460	0	1	66.751	299215.085	130	-0.467	-1.563	100	873	1	10848.813	74.053	123.690	55.540	1.069	0.936	0.875
69	685.487	104	0	104	104	104	12228.057	92.567	12228.057	92.567	89.390	12218.800	74.053	18.513	37.027	41.780	20.890	90	1	41.397	71290.650	104	NaN	NaN	100	208	1	12218.800	74.053	116.565	18.513	2	0.500	1
70	685.487	103	0	103	103	103	12885.280	83.310	12885.280	83.310	78.545	12866.767	74.053	37.027	18.513	41.780	20.890	0	1	41.397	70605.163	103	NaN	NaN	100	206	1	12866.767	74.053	153.435	18.513	2	0.500	1
71	1370.974	105	0	105	105	105	14704.215	101.823	14704.215	101.823	141.754	14681.073	74.053	37.027	55.540	50.614	34.488	90.000	0.857	58.544	143952.275	105	NaN	NaN	100	420	1	14699.587	74.053	108.435	37.027	1.468	0.681	0.800
72	1370.974	108.500	2.887	106	106	111	14977.287	92.567	14977.073	92.567	104.727	14958.773	74.053	37.027	37.027	41.780	41.780	0	1	52.364	148750.684	111	0	-2	100	434	1	14958.773	74.053	135	37.027	1	1.000	1
73	342.744	110	0	110	110	110	15875.183	83.310	15875.183	83.310	52.364	15865.927	74.053	18.513	18.513	20.890	20.890	0	1	26.182	37701.786	110	NaN	NaN	100	110	1	15865.927	74.053	135	18.513	1	1.000	1
74	1028.231	108	0	108	108	108	1348.388	114.166	1348.388	114.166	104.727	1332.960	92.567	37.027	37.027	43.777	29.906	135.000	1	52.364	111048.898	108	NaN	NaN	100	324	1	1332.960	92.567	135	37.027	1.464	0.683	0.857
75	1370.974	120.500	6.351	115	115	126	1499.580	111.080	1499.580	110.657	104.727	1481.067	92.567	37.027	37.027	41.780	41.780	0	1	52.364	165202.372	126	0	-2	100	482	1	1481.067	92.567	135	37.027	1	1.000	1
76	1713.718	107.600	0.548	108	107	108	2297.505	120.337	2297.443	120.302	183.273	2258.627	92.567	74.053	55.540	81.624	26.732	139.265	0.641	92.567	184396.009	108	-0.408	-1.833	100	538	1	2258.627	92.567	143.130	39.273	3.053	0.328	0.625
77	685.487	111.500	10.607	104	104	119	2453.017	111.080	2453.017	110.457	89.390	2443.760	92.567	18.513	37.027	41.780	20.890	90	1	41.397	76431.803	119	0	-2	100	223	1	2443.760	92.567	116.565	18.513	2	0.500	1
78	685.487	108	0	108	108	108	3202.807	101.823	3202.807	101.823	78.545	3184.293	92.567	37.027	18.513	41.780	20.890	0	1	41.397	74032.598	108	NaN	NaN	100	216	1	3184.293	92.567	153.435	18.513	2	0.500	1
79	342.744	106	0	106	106	106	4082.190	101.823	4082.190	101.823	52.364	4072.933	92.567	18.513	18.513	20.890	20.890	0	1	26.182	36330.812	106	NaN	NaN	100	106	1	4072.933	92.567	135	18.513	1	1.000	1
80	342.744	116	0	116	116	116	4452.457	101.823	4452.457	101.823	52.364	4443.200	92.567	18.513	18.513	20.890	20.890	0	1	26.182	39758.247	116	NaN	NaN	100	116	1	4443.200	92.567	135	18.513	1	1.000	1
81	685.487	112	0	112	112	112	5915.010	111.080	5915.010	111.080	89.390	5905.753	92.567	18.513	37.027	41.780	20.890	90	1	41.397	76774.546	112	NaN	NaN	100	224	1	5905.753	92.567	116.565	18.513	2	0.500	1
82	1028.231	103	0	103	103	103	6377.843	120.337	6377.843	120.337	126.417	6368.587	92.567	18.513	55.540	62.670	20.890	90	0.809	58.544	105907.745	103	NaN	NaN	100	309	1	6368.587	92.567	108.435	18.513	3	0.333	1
83	342.744	109	0	109	109	109	6729.597	101.823	6729.597	101.823	52.364	6720.340	92.567	18.513	18.513	20.890	20.890	0	1	26.182	37359.043	109	NaN	NaN	100	109	1	6720.340	92.567	135	18.513	1	1.000	1
84	342.744	103	0	103	103	103	7710.803	101.823	7710.803	101.823	52.364	7701.547	92.567	18.513	18.513	20.890	20.890	0	1	26.182	35302.582	103	NaN	NaN	100	103	1	7701.547	92.567	135	18.513	1	1.000	1
85	685.487	107	0	107	107	107	7886.680	101.823	7886.680	101.823	78.545	7868.167	92.567	37.027	18.513	41.780	20.890	0	1	41.397	73347.111	107	NaN	NaN	100	214	1	7868.167	92.567	153.435	18.513	2	0.500	1
86	685.487	146	0	146	146	146	8164.380	101.823	8164.380	101.823	78.545	8145.867	92.567	37.027	18.513	41.780	20.890	0	1	41.397	100081.105	146	NaN	NaN	100	292	1	8145.867	92.567	153.435	18.513	2	0.500	1
87	2056.461	105.333	1.862	107	103	107	8738.293	111.080	8738.293	111.109	167.936	8701.267	92.567	74.053	37.027	73.828	35.466	161.565	0.916	82.794	216613.899	107	-0.121	-1.820	100	632	1	8701.267	92.567	153.435	37.027	2.082	0.480	0.857
88	342.744	103	0	103	103	103	8932.683	101.823	8932.683	101.823	52.364	8923.427	92.567	18.513	18.513	20.890	20.890	0	1	26.182	35302.582	103	NaN	NaN	100	103	1	8923.427	92.567	135	18.513	1	1.000	1
89	342.744	106	0	106	106	106	9895.377	101.823	9895.377	101.823	52.364	9886.120	92.567	18.513	18.513	20.890	20.890	0	1	26.182	36330.812	106	NaN	NaN	100	106	1	9886.120	92.567	135	18.513	1	1.000	1
90	1028.231	111	6.928	115	103	115	10605.054	114.166	10604.610	113.943	104.727	10589.627	92.567	37.027	37.027	43.777	29.906	135.000	1	52.364	114133.589	115	-0.707	-1.500	100	333	1	10589.627	92.567	135	37.027	1.464	0.683	0.857
91	3427.435	106.200	1.033	107	105	107	11837.425	125.891	11837.551	126.037	220.299	11792.993	92.567	74.053	74.053	91.556	47.664	127.875	0.887	104.727	363993.609	107	-0.408	-1.833	100	1062	1	11792.993	92.567	135	61.752	1.921	0.521	0.800
92	342.744	109	0	109	109	109	12376.163	101.823	12376.163	101.823	52.364	12366.907	92.567	18.513	18.513	20.890	20.890	0	1	26.182	37359.043	109	NaN	NaN	100	109	1	12366.907	92.567	135	18.513	1	1.000	1
93	685.487	124	0	124	124	124	12959.333	101.823	12959.333	101.823	78.545	12940.820	92.567	37.027	18.513	41.780	20.890	0	1	41.397	85000.391	124	NaN	NaN	100	248	1	12940.820	92.567	153.435	18.513	2	0.500	1
94	1713.718	114	9.592	123	103	123	14201.578	127.742	14202.228	128.522	178.781	14181.213	92.567	37.027	74.053	75.464	28.914	110.994	0.674	82.794	195363.801	116	-0.188	-1.732	100	570	1	14181.213	92.567	116.565	37.027	2.610	0.383	0.769
95	3084.692	108.556	5.175	104	104	114	14313.892	120.337	14314.113	120.356	194.118	14273.780	92.567	74.053	55.540	77.829	50.464	35.783	1	92.567	334860.410	105	0.213	-1.942	100	977	1	14273.780	148.107	36.870	55.540	1.542	0.648	0.857
96	685.487	115	15.556	104	104	126	15375.323	111.080	15375.323	110.195	89.390	15366.067	92.567	18.513	37.027	41.780	20.890	90	1	41.397	78831.008	126	0	-2	100	230	1	15366.067	92.567	116.565	18.513	2	0.500	1
97	3084.692	119.111	8.594	120	106	135	16027.404	122.394	16027.538	121.494	204.962	15995.520	92.567	55.540	74.053	77.750	50.515	119.518	0.923	92.567	367421.044	120	0.320	-0.364	100	1072	1	15995.520	92.567	126.870	55.540	1.539	0.650	0.900
98	1713.718	106.200	0.837	106	105	107	16860.093	109.229	16860.155	109.215	141.754	16828.620	92.567	55.540	37.027	58.211	37.484	161.565	1	66.751	181996.804	106	-0.344	-1.153	100	531	1	16828.620	92.567	146.310	37.027	1.553	0.644	0.909
99	2056.461	113	3.098	115	109	115	17809.827	120.337	17809.827	120.009	141.754	17791.313	92.567	37.027	55.540	62.670	41.780	90.000	1	66.751	232380.101	115	-0.707	-1.500	100	678	1	17791.313	92.567	123.690	37.027	1.500	0.667	1
100	685.487	106	0	106	106	106	1008.977	129.593	1008.977	129.593	89.390	999.720	111.080	18.513	37.027	41.780	20.890	90	1	41.397	72661.624	106	NaN	NaN	100	212	1	999.720	111.080	116.565	18.513	2	0.500	1
101	342.744	104	0	104	104	104	1768.023	120.337	1768.023	120.337	52.364	1758.767	111.080	18.513	18.513	20.890	20.890	0	1	26.182	35645.325	104	NaN	NaN	100	104	1	1758.767	111.080	135	18.513	1	1.000	1
102	2056.461	119.167	11.635	112	112	139	1919.216	141.936	1919.444	141.750	157.091	1888.360	111.080	55.540	55.540	58.140	45.035	135.000	1	66.751	245061.610	112	0.976	-0.755	100	715	1	1906.873	111.080	123.690	52.364	1.291	0.775	0.800
103	342.744	109	0	109	109	109	4915.290	120.337	4915.290	120.337	52.364	4906.033	111.080	18.513	18.513	20.890	20.890	0	1	26.182	37359.043	109	NaN	NaN	100	109	1	4906.033	111.080	135	18.513	1	1.000	1
104	685.487	103.500	0.707	103	103	104	7969.990	129.593	7969.990	129.549	89.390	7960.733	111.080	18.513	37.027	41.780	20.890	90	1	41.397	70947.907	104	0	-2	100	207	1	7960.733	111.080	116.565	18.513	2	0.500	1
105	2056.461	119.667	12.226	106	106	136	10413.750	151.192	10413.389	150.401	194.118	10385.980	111.080	55.540	74.053	63.243	41.402	90.000	0.686	76.332	246089.841	120	0.043	-1.363	100	718	1	10404.493	111.080	104.036	55.540	1.528	0.655	0.667
106	4455.666	105.231	1.481	104	104	107	10734.173	164.484	10734.215	164.455	305.198	10700.707	111.080	55.540	111.080	114.724	49.450	98.203	0.601	124.191	468873.123	104	0.391	-1.778	100	1368	1	10700.707	111.080	116.565	55.540	2.320	0.431	0.812
107	685.487	104	0	104	104	104	11487.523	129.593	11487.523	129.593	89.390	11478.267	111.080	18.513	37.027	41.780	20.890	90	1	41.397	71290.650	104	NaN	NaN	100	208	1	11478.267	111.080	116.565	18.513	2	0.500	1
108	685.487	109	2.828	107	107	111	12885.280	120.337	12885.450	120.337	78.545	12866.767	111.080	37.027	18.513	41.780	20.890	0	1	41.397	74718.085	111	0	-2	100	218	1	12866.767	111.080	153.435	18.513	2	0.500	1
109	342.744	114	0	114	114	114	14023.850	120.337	14023.850	120.337	52.364	14014.593	111.080	18.513	18.513	20.890	20.890	0	1	26.182	39072.760	114	NaN	NaN	100	114	1	14014.593	111.080	135	18.513	1	1.000	1
110	10282.305	131.933	26.408	149	104	183	15320.400	191.922	15318.750	190.667	425.262	15254.987	111.080	129.593	148.107	141.810	92.319	121.925	0.714	159.258	1356578.817	121	0.596	-1.028	100	3958	1	15292.013	129.593	125.538	117.155	1.536	0.651	0.759
111	685.487	109	7.071	104	104	114	16717.540	129.593	16717.965	130.018	104.727	16699.027	111.080	37.027	37.027	48.054	18.163	135.000	0.785	52.364	74718.085	114	0	-2	100	218	1	16699.027	111.080	135	26.182	2.646	0.378	0.667
112	685.487	104	0	104	104	104	17023.010	129.593	17023.010	129.593	89.390	17013.753	111.080	18.513	37.027	41.780	20.890	90	1	41.397	71290.650	104	NaN	NaN	100	208	1	17013.753	111.080	116.565	18.513	2	0.500	1
113	685.487	113	5.657	109	109	117	17171.117	129.593	17171.117	129.921	89.390	17161.860	111.080	18.513	37.027	41.780	20.890	90	1	41.397	77460.034	117	0	-2	100	226	1	17161.860	111.080	116.565	18.513	2	0.500	1
